Periodo,Cuota_Total,Interes,Amortizacion,Saldo_Pendiente,TRM_Proyectada,Cuota_Total_COP,Interes_COP,Amortizacion_COP,Saldo_Pendiente_COP
1,3169.6188919405363,1768.874270625,1400.7446213155363,84362.85637868446,3814.5686552818734,12090728.874385633,6747492.347860711,5343236.526524922,321807907.6121762
2,3169.6188919405363,1739.983912810367,1429.6349791301693,82933.22139955428,3846.051435492953,12190517.289313482,6692067.625598957,5498449.663714525,318965435.2138106
3,3169.6188919405363,1710.4976913658072,1459.121200574729,81474.10019897956,4001.6411415538037,12683677.36103543,6844797.9343022145,5838879.426733215,326030111.32731354
4,3169.6188919405363,1680.4033166039535,1489.2155753365828,79984.88462364298,4311.887557502158,13667040.262182176,7245710.152449947,6421330.109732229,344885828.79693186
5,3169.6188919405363,1649.6882453626365,1519.9306465778998,78464.95397706509,4330.831784624767,13727086.24236321,7144522.287738368,6582563.954624842,339818516.662993
6,3169.6188919405363,1618.3396757769676,1551.2792161635687,76913.67476090151,4349.862099586985,13787405.088187035,7039554.419920121,6747850.668266913,334563878.78240556
7,3169.6188919405363,1586.3445419435939,1583.2743499969424,75330.40041090458,4697.65127916882,14889764.242202118,7452093.4666638,7437670.775538319,353875951.8505853
8,3169.6188919405363,1553.689508474907,1615.9293834656294,73714.47102743895,4911.159404232728,15566503.628987484,7630416.840804264,7936086.78818322,362023517.6144478
9,3169.6188919405363,1520.3609649409284,1649.257926999608,72065.21310043934,4886.5233033146715,15488416.578093858,7429279.284633826,8059137.293460031,352148343.1736346
10,3169.6188919405363,1486.3450201965616,1683.2738717439747,70381.93922869537,5062.869773509734,16047367.681551157,7525171.275759887,8522196.40579127,356334592.7219608
11,3169.6188919405363,1451.627496591842,1717.9913953486944,68663.94783334667,5038.6932049633215,15970737.173144152,7314305.603215231,8656431.569928922,345976567.37383986
12,3169.6188919405363,1416.193924062775,1753.4249678777612,66910.52286546891,5014.168342133741,15893002.704597265,7101034.740357722,8791967.964239541,335500625.50765
13,3169.6188919405363,1380.0295341002964,1789.58935784024,65120.93350762867,5133.029673318917,16269747.825443,7083732.548593301,9186015.276849696,334267684.0488861
14,3169.6188919405363,1343.1192535948414,1826.4996383456948,63294.43386928298,4820.6793141002,15279716.22595894,6474747.2021743525,8804969.023784587,305122168.0513355
15,3169.6188919405363,1305.4476985539616,1864.1711933865747,61430.2626758964,4561.575833575779,14458456.939121189,5954898.67372087,8503558.26540032,280218801.6725812
16,3169.6188919405363,1266.9991676903635,1902.6197242501728,59527.64295164623,4521.874590134228,14332619.127875319,5729211.342100271,8603407.785775049,269176536.07363194
17,3169.6188919405363,1227.7576358777035,1941.8612560628328,57585.7816955834,4402.459646849856,13954119.267661164,5405153.448063368,8548965.819597796,253519080.14711097
18,3169.6188919405363,1187.7067474714077,1981.9121444691286,55603.86955111427,4519.870254554058,14326266.147954624,5368280.399029164,8957985.74892546,251322276.0221855
19,3169.6188919405363,1146.829809491732,2022.7890824488043,53581.08046866547,4418.995136972815,14006530.469542393,5067835.351079424,8938695.118462969,236774534.0247818
20,3169.6188919405363,1105.1097846662253,2064.5091072743107,51516.57136139116,4234.097403869265,13420475.1216204,4679142.470245787,8741332.651374612,218126181.05751202
21,3169.6188919405363,1062.5292843286927,2107.0896076118433,49409.48175377931,4551.906373360481,14427808.435347913,4836533.821217927,9591274.614129985,224907334.89946645
22,3169.6188919405363,1019.0705611716984,2150.548330768838,47258.93342301047,4573.437344560048,14496053.408423888,4660655.36120441,9835398.047219476,216135770.9808731
23,3169.6188919405363,974.7155018495911,2194.9033900909453,45064.03003291953,4649.297832985959,14736502.245690491,4531742.670527125,10204759.575163366,209516097.17766693
24,3169.6188919405363,929.4456194289654,2240.1732725115708,42823.85676040796,4452.546933639844,14112876.878116755,4138400.2427734253,9974476.635343328,190675232.10518634
25,3169.6188919405363,883.2420456834142,2286.376846257122,40537.479914150834,4416.956870388434,14000069.941269727,3901242.0218972918,10098827.919372436,179052300.4150417
26,3169.6188919405363,836.085523229361,2333.533368711175,38203.946545439656,4498.022571739667,14257017.319761004,3760731.5553904353,10496285.764370568,171842213.89092326
27,3169.6188919405363,787.9563974996929,2381.662494440843,35822.28405099882,4355.10242338184,13804014.917487092,3431630.8162701367,10372384.101216953,156009716.08157757
28,3169.6188919405363,738.8346085518506,2430.7842833886857,33391.499767610134,4482.254019865201,14207037.019841153,3311644.394197065,10895392.62564409,149669184.06269845
29,3169.6188919405363,688.699682706959,2480.919209233577,30910.580558376558,4436.432230513004,14061799.410647908,3055369.4695052323,11006429.941142675,137132695.85305038
30,3169.6188919405363,637.5307240165165,2532.0881679240197,28378.49239045254,4445.679615904621,14091110.098086232,2834257.344273142,11256852.75381309,126161685.15033925
31,3169.6188919405363,585.3064055530837,2584.3124863874527,25794.179904065088,4400.043764078622,13946461.83998875,2575373.799829119,11371088.040159632,113495520.4364037
32,3169.6188919405363,532.0049605213425,2637.6139314191937,23156.565972645894,4804.032236960442,15226951.33576117,2555768.9805673966,12671182.355193775,111244889.42989211
33,3169.6188919405363,477.6041731858216,2692.0147187547145,20464.55125389118,4867.915056681306,15429435.528018855,2324936.545785087,13104498.982233766,99619697.17704317
34,3169.6188919405363,422.0813696115056,2747.5375223290307,17717.013731562147,4730.861345126194,14995027.494663201,1996808.4359929934,12998219.058670208,83816735.41371734
35,3169.6188919405363,365.4134082134693,2804.205483727067,14912.80824783508,4956.793624233727,15711146.714821622,1811278.852042041,13899867.862779582,73919712.84228908
36,3169.6188919405363,307.57667011159856,2862.0422218289377,12050.766026006142,4785.905953573433,15169497.92549704,1472033.0166673914,13697464.90882965,57673832.868983254
37,3169.6188919405363,248.5470492863767,2921.07184265416,9129.694183351981,4892.874107016335,15508546.205485657,1216109.4218286255,14292436.783657033,44670444.27470055
38,3169.6188919405363,188.29994253163463,2981.3189494089015,6148.375233943079,4586.6186627822435,14537833.16368164,863660.0306164193,13674173.133065218,28200252.59379147
39,3169.6188919405363,126.81023920007601,3042.8086527404603,3105.566581202619,4409.519099866062,13976495.043308098,559172.1718113192,13417322.871496778,13694055.155718695
40,3169.6188919399233,64.05231073730403,3105.566581202619,0.0,4505.910977134773,14282020.558525857,288614.0100620657,13993406.54846379,0.0
